UTC Time,Latitude,Longitude,GForce,satCount
135731,51.469813,5.38448,0.42,22
135731,51.469813,5.38448,0.54,22
135732,51.469708,5.384666,0.59,22
135732,51.469708,5.384666,0.58,22
135732,51.469708,5.384666,0.62,22
135732,51.469708,5.384666,0.6,22
135732,51.469708,5.384666,0.57,22
135732,51.469708,5.384666,0.51,22
135732,51.469708,5.384666,0.43,22
135732,51.469708,5.384666,0.34,22
135732,51.469708,5.384666,0.09,22
135732,51.469708,5.384666,0.16,22
135733,51.46963,5.384801,0.29,22
135733,51.46963,5.384801,0.22,22
135733,51.46963,5.384801,0.25,22
135733,51.46963,5.384801,0.32,22
135733,51.46963,5.384801,0.35,22
135733,51.46963,5.384801,0.39,22
135733,51.46963,5.384801,0.45,22
135733,51.46963,5.384801,0.44,22
135733,51.46963,5.384801,0.44,22
135733,51.46963,5.384801,0.45,22
135734,51.469568,5.384891,0.56,22
135734,51.469568,5.384891,0.49,22
135734,51.469568,5.384891,0.46,22
135734,51.469568,5.384891,0.53,22
135734,51.469568,5.384891,0.54,22
135734,51.469568,5.384891,0.57,22
135734,51.469568,5.384891,0.55,22
135734,51.469568,5.384891,0.55,22
135734,51.469568,5.384891,0.61,22
135734,51.469568,5.384891,0.49,22
135735,51.469495,5.384934,0.53,22
135735,51.469495,5.384934,0.48,22
135735,51.469495,5.384934,0.51,22
135735,51.469495,5.384934,0.43,22
135735,51.469495,5.384934,0.48,22
135735,51.469495,5.384934,0.5,22
135735,51.469495,5.384934,0.55,22
135735,51.469495,5.384934,0.58,22
135735,51.469495,5.384934,0.76,22
135735,51.469495,5.384934,0.68,22
135736,51.469408,5.384907,0.63,22
135736,51.469408,5.384907,0.44,22
135736,51.469408,5.384907,0.4,22
135736,51.469408,5.384907,0.45,22
135736,51.469408,5.384907,0.35,22
135736,51.469408,5.384907,0.44,22
135736,51.469408,5.384907,0.45,22
135736,51.469408,5.384907,0.5,22
135736,51.469408,5.384907,0.32,22
135736,51.469408,5.384907,0.41,22
135737,51.469325,5.384778,0.29,22
135737,51.469325,5.384778,0.37,22
135737,51.469325,5.384778,0.29,22
135737,51.469325,5.384778,0.31,22
135737,51.469325,5.384778,0.32,22
135737,51.469325,5.384778,0.01,22
135737,51.469325,5.384778,0.02,22
135737,51.469325,5.384778,0.03,22
135737,51.469325,5.384778,0.03,22
135737,51.469325,5.384778,0.1,22
135738,51.469247,5.384591,0.04,22
135738,51.469247,5.384591,0.02,22
135738,51.469247,5.384591,0.15,22
135738,51.469247,5.384591,0.25,22
135738,51.469247,5.384591,0.21,22
135738,51.469247,5.384591,0.42,22
135738,51.469247,5.384591,0.19,22
135738,51.469247,5.384591,0.35,22
135738,51.469247,5.384591,0.25,22
135739,51.469168,5.384393,0.35,22
135739,51.469168,5.384393,0.29,22
135739,51.469168,5.384393,0.41,22
135739,51.469168,5.384393,0.4,22
135739,51.469168,5.384393,0.53,22
135739,51.469168,5.384393,0.49,22
135739,51.469168,5.384393,0.49,22
135739,51.469168,5.384393,0.5,22
135739,51.469168,5.384393,0.56,22
135739,51.469168,5.384393,0.58,22
135739,51.469168,5.384393,0.54,22
135740,51.46907,5.384187,0.53,22
135740,51.46907,5.384187,0.53,22
135740,51.46907,5.384187,0.52,22
135740,51.46907,5.384187,0.54,22
135740,51.46907,5.384187,0.61,22
